konsiltan	k-on-s-i-l-t-an
flanke	f-l-an-k-e
nefas	n-e-f-a-s
chimen	ch-i-m-en
kawòs	k-a-w-ò-s
asanblaj	a-s-an-b-l-a-j
odè	o-d-è
konvèse	k-on-v-è-s-e
karantèn	k-a-r-an-t-è-n
restorasyon	r-e-s-t-o-r-a-s-y-on
Bonèt	B-o-n-è-t
Gouvènmantal	G-ou-v-è-n-m-an-t-a-l
mendèv	m-en-d-è-v
chanbadman	ch-an-b-a-d-m-an
vilipande	v-i-l-i-p-an-d-e
apante	a-p-an-t-e
gram	g-r-a-m
Konektikèt	K-o-n-e-k-t-i-k-è-t
tranblay	t-r-an-b-l-a-y
kotize	k-o-t-i-z-e
anj	an-j
nòmal	n-ò-m-a-l
verifikatè	v-e-r-i-f-i-k-a-t-è
orijin	o-r-i-j-i-n
altènatif	a-l-t-è-n-a-t-i-f
konn	k-on-n
Maksim	M-a-k-s-i-m
enkondisyonèl	en-k-on-d-i-s-y-o-n-è-l
Lenous	L-e-n-ou-s
Vaval	V-a-v-a-l
mandragò	m-an-d-r-a-g-ò
ensektisid	en-s-e-k-t-i-s-i-d
pantalon	p-an-t-a-l-on
kòkòt	k-ò-k-ò-t
zès	z-è-s
banyè	b-a-n-y-è
fonksyonnman	f-on-k-s-y-on-n-m-an
tanperans	t-an-p-e-r-an-s
drese	d-r-e-s-e
kontinye	k-on-t-i-n-y-e
polarizasyon	p-o-l-a-r-i-z-a-s-y-on
bavèt	b-a-v-è-t
peye	p-e-y-e
laswenyaj	l-a-s-w-en-y-a-j
fren	f-r-en
kawotyou	k-a-w-o-t-y-ou
jidoka	j-i-d-o-k-a
malantandi	m-a-l-an-t-an-d-i
Dantès	D-an-t-è-s
detèminine	d-e-t-è-m-i-n-i-n-e
zen	z-en
konstan	k-on-s-t-an
konpile	k-on-p-i-l-e
antere	an-t-e-r-e
mekanis	m-e-k-a-n-i-s
atache	a-t-a-ch-e
ansyènte	an-s-y-è-n-t-e
rekonesan	r-e-k-o-n-e-s-an
sansasyonalize	s-an-s-a-s-y-o-n-a-l-i-z-e
lajmanlaj	l-a-j-m-an-l-a-j
bètazèl	b-è-t-a-z-è-l
dosil	d-o-s-i-l
pretèks	p-r-e-t-è-k-s
double	d-ou-b-l-e
dezole	d-e-z-o-l-e
chich	ch-i-ch
Lakayè	L-a-k-a-y-è
diferans	d-i-f-e-r-an-s
revandè	r-e-v-an-d-è
soysal	s-o-y-s-a-l
cheri	ch-e-r-i
anfibi	an-f-i-b-i
bondi	b-on-d-i
trepase	t-r-e-p-a-s-e
Wanament	W-a-n-a-m-en-t
chouchou	ch-ou-ch-ou
rezone	r-e-z-o-n-e
pankreya	p-an-k-r-e-y-a
briyans	b-r-i-y-an-s
bit	b-i-t
anpare	an-p-a-r-e
vwati	v-w-a-t-i
Etyèn	E-t-y-è-n
dosye	d-o-s-y-e
inè	i-n-è
palentèmedyè	p-a-l-en-t-è-m-e-d-y-è
degoutan	d-e-g-ou-t-an
riske	r-i-s-k-e
kirantre	k-i-r-an-t-r-e
espirityalite	e-s-p-i-r-i-t-y-a-l-i-t-e
analòg	a-n-a-l-ò-g
mekanik	m-e-k-a-n-i-k
Chama	Ch-a-m-a
Andal	An-d-a-l
ouzi	ou-z-i
orijinalite	o-r-i-j-i-n-a-l-i-t-e
radikalize	r-a-d-i-k-a-l-i-z-e
Baradè	B-a-r-a-d-è
akite	a-k-i-t-e
rekòmanse	r-e-k-ò-m-an-s-e
eleman	e-l-e-m-an
prezantab	p-r-e-z-an-t-a-b
fouray	f-ou-r-a-y
Chadrak	Ch-a-d-r-a-k
pwi	p-w-i
òganize	ò-g-a-n-i-z-e
moustik	m-ou-s-t-i-k
Venezwela	V-e-n-e-z-w-e-l-a
evèk	e-v-è-k
dodin	d-o-d-i-n
kididonk	k-i-d-i-d-on-k
navigasyon	n-a-v-i-g-a-s-y-on
represif	r-e-p-r-e-s-i-f
briz	b-r-i-z
senkyèm	s-en-k-y-è-m
administrasyon	a-d-m-i-n-i-s-t-r-a-s-y-on
ekokadyogram	e-k-o-k-a-d-y-o-g-r-a-m
Onndiras	On-n-d-i-r-a-s
repwodiktiv	r-e-p-w-o-d-i-k-t-i-v
pwovidans	p-w-o-v-i-d-an-s
dirab	d-i-r-a-b
Nikodèm	N-i-k-o-d-è-m
viktimizasyon	v-i-k-t-i-m-i-z-a-s-y-on
enkonpetan	en-k-on-p-e-t-an
tounavis	t-ou-n-a-v-i-s
direksyon	d-i-r-e-k-s-y-on
imite	i-m-i-t-e
miltirasyal	m-i-l-t-i-r-a-s-y-a-l
rapatriye	r-a-p-a-t-r-i-y-e
nève	n-è-v-e
ansèy	an-s-è-y
enplemantasyon	en-p-l-e-m-an-t-a-s-y-on
depi	d-e-p-i
Filemon	F-i-l-e-m-on
sekatè	s-e-k-a-t-è
titoryèl	t-i-t-o-r-y-è-l
pwakoni	p-w-a-k-o-n-i
dizèn	d-i-z-è-n
patriyakal	p-a-t-r-i-y-a-k-a-l
enkorijib	en-k-o-r-i-j-i-b
konduit	k-on-d-ui-t
teknokrat	t-e-k-n-o-k-r-a-t
Kenntiki	K-en-n-t-i-k-i
Nasyozini	N-a-s-y-o-z-i-n-i
echèl	e-ch-è-l
wikenn	w-i-k-en-n
estabilizatè	e-s-t-a-b-i-l-i-z-a-t-è
krent	k-r-en-t
relokasyon	r-e-l-o-k-a-s-y-on
apwentman	a-p-w-en-t-m-an
respire	r-e-s-p-i-r-e
diminye	d-i-m-i-n-y-e
dezoryente	d-e-z-o-r-y-en-t-e
dekourajman	d-e-k-ou-r-a-j-m-an
pese	p-e-s-e
òganise	ò-g-a-n-i-s-e
beni	b-e-n-i
pèsistan	p-è-s-i-s-t-an
admisyon	a-d-m-i-s-y-on
agwobiznis	a-g-w-o-b-i-z-n-i-s
Montesori	M-on-t-e-s-o-r-i
flagrandeli	f-l-a-g-r-an-d-e-l-i
enposibilite	en-p-o-s-i-b-i-l-i-t-e
Grangozye	G-r-an-g-o-z-y-e
Kaplan	K-a-p-l-an
disponip	d-i-s-p-o-n-i-p
bouda	b-ou-d-a
sitirèz	s-i-t-i-r-è-z
rezoud	r-e-z-ou-d
rezo	r-e-z-o
Antenò	An-t-e-n-ò
galon	g-a-l-on
Salina	S-a-l-i-n-a
kanaval	k-a-n-a-v-a-l
bonnanj	b-on-n-an-j
krabinen	k-r-a-b-i-n-en
aliman	a-l-i-m-an
touse	t-ou-s-e
katòzè	k-a-t-ò-z-è
tanjib	t-an-j-i-b
engratitid	en-g-r-a-t-i-t-i-d
tyè	t-y-è
nivelaj	n-i-v-e-l-a-j
amnyotik	a-m-n-y-o-t-i-k
abandonnen	a-b-an-d-on-n-en
Lamantasyon	L-a-m-an-t-a-s-y-on
gabari	g-a-b-a-r-i
lajil	l-a-j-i-l
rekoni	r-e-k-o-n-i
kò	k-ò
metwopolis	m-e-t-w-o-p-o-l-i-s
tèren	t-è-r-en
inisyalizasyon	i-n-i-s-y-a-l-i-z-a-s-y-on
fònikatè	f-ò-n-i-k-a-t-è
sikonferans	s-i-k-on-f-e-r-an-s
gouvènenman	g-ou-v-è-n-en-m-an
santimantal	s-an-t-i-m-an-t-a-l
trilyon	t-r-i-l-y-on
zizye	z-i-z-y-e
segregasyon	s-e-g-r-e-g-a-s-y-on
Jilbris	J-i-l-b-r-i-s
kostime	k-o-s-t-i-m-e
konbin	k-on-b-i-n
ofiramezi	o-f-i-r-a-m-e-z-i
prèske	p-r-è-s-k-e
Sanit	S-a-n-i-t
deleye	d-e-l-e-y-e
esponsò	e-s-p-on-s-ò
rapousib	r-a-p-ou-s-i-b
patan	p-a-t-an
chagren	ch-a-g-r-en
kous	k-ou-s
ejeksyon	e-j-e-k-s-y-on
pèforatè	p-è-f-o-r-a-t-è
Endonezi	En-d-o-n-e-z-i
so	s-o
espesifikasyon	e-s-p-e-s-i-f-i-k-a-s-y-on
mèvèyman	m-è-v-è-y-m-an
posesyon	p-o-s-e-s-y-on
trajè	t-r-a-j-è
dezonorab	d-e-z-o-n-o-r-a-b
nimewote	n-i-m-e-w-o-t-e
konsomen	k-on-s-o-m-en
Lamèsi	L-a-m-è-s-i
Ananya	A-n-a-n-y-a
konvèsasyon	k-on-v-è-s-a-s-y-on
bite	b-i-t-e
labib	l-a-b-i-b
malnitrisyon	m-a-l-n-i-t-r-i-s-y-on
sansinen	s-an-s-i-n-en
revandikatif	r-e-v-an-d-i-k-a-t-i-f
oval	o-v-a-l
rekritman	r-e-k-r-i-t-m-an
jon	j-on
remèt	r-e-m-è-t
polisyon	p-o-l-i-s-y-on
bwesonyè	b-w-e-s-on-y-è
anplifye	an-p-l-i-f-y-e
mate	m-a-t-e
djòlè	d-j-ò-l-è
bouboul	b-ou-b-ou-l
Soliva	S-o-l-i-v-a
tonm	t-on-m
twò	t-w-ò
ewozyon	e-w-o-z-y-on
melanj	m-e-l-an-j
fas	f-a-s
aneyanti	a-n-e-y-an-t-i
reziste	r-e-z-i-s-t-e
politikman	p-o-l-i-t-i-k-m-an
lontan	l-on-t-an
kwayans	k-w-a-y-an-s
kemande	k-e-m-an-d-e
tetrasiklin	t-e-t-r-a-s-i-k-l-i-n
kouvè	k-ou-v-è
blende	b-l-en-d-e
lasemèn	l-a-s-e-m-è-n
envizib	en-v-i-z-i-b
inegalite	i-n-e-g-a-l-i-t-e
kraze	k-r-a-z-e
debarase	d-e-b-a-r-a-s-e
bibit	b-i-b-i-t
anven	an-v-en
akòd	a-k-ò-d
oubli	ou-b-l-i
chay	ch-a-y
kwonoloji	k-w-o-n-o-l-o-j-i
wonn	w-on-n
kanta	k-an-t-a
soup	s-ou-p
epidemi	e-p-i-d-e-m-i
Galat	G-a-l-a-t
digdantan	d-i-g-d-an-t-an
eskalye	e-s-k-a-l-y-e
Jesifra	J-e-s-i-f-r-a
pyedestal	p-y-e-d-e-s-t-a-l
madichonnen	m-a-d-i-ch-on-n-en
jèn	j-è-n
anboche	an-b-o-ch-e
tepe	t-e-p-e
imedyatman	i-m-e-d-y-a-t-m-an
felisite	f-e-l-i-s-i-t-e
rezonans	r-e-z-o-n-an-s
deskripsyon	d-e-s-k-r-i-p-s-y-on
tizwazo	t-i-z-w-a-z-o
newolojik	n-e-w-o-l-o-j-i-k
ewoyikman	e-w-o-y-i-k-m-an
entansiv	en-t-an-s-i-v
terapet	t-e-r-a-p-e-t
mesye	m-e-s-y-e
rivaj	r-i-v-a-j
ayerasyon	a-y-e-r-a-s-y-on
planifye	p-l-a-n-i-f-y-e
globalizasyon	g-l-o-b-a-l-i-z-a-s-y-on
solvab	s-o-l-v-a-b
pitza	p-i-t-z-a
fondamantalman	f-on-d-a-m-an-t-a-l-m-an
pantanlon	p-an-t-an-l-on
enspirasyon	en-s-p-i-r-a-s-y-on
aranje	a-r-an-j-e
responsilite	r-e-s-p-on-s-i-l-i-t-e
rakwoche	r-a-k-w-o-ch-e
aza	a-z-a
franchman	f-r-an-ch-m-an
taptap	t-a-p-t-a-p
koutim	k-ou-t-i-m
sètsan	s-è-t-s-an
sote	s-o-t-e
oukelele	ou-k-e-l-e-l-e
trèn	t-r-è-n
esperyans	e-s-p-e-r-y-an-s
minisyon	m-i-n-i-s-y-on
esklamatif	e-s-k-l-a-m-a-t-i-f
senbòl	s-en-b-ò-l
meditasyon	m-e-d-i-t-a-s-y-on
konvoke	k-on-v-o-k-e
dedikase	d-e-d-i-k-a-s-e
dife	d-i-f-e
gè	g-è
retande	r-e-t-an-d-e
Meyis	M-e-y-i-s
lemonn	l-e-m-on-n
bèje	b-è-j-e
destitye	d-e-s-t-i-t-y-e
korespondans	k-o-r-e-s-p-on-d-an-s
molisk	m-o-l-i-s-k
travayè	t-r-a-v-a-y-è
langèt	l-an-g-è-t
visaj	v-i-s-a-j
depoze	d-e-p-o-z-e
plake	p-l-a-k-e
ete	e-t-e
Kalkita	K-a-l-k-i-t-a
Silven	S-i-l-v-en
nostalji	n-o-s-t-a-l-j-i
viyèt	v-i-y-è-t
Matyas	M-a-t-y-a-s
laponyèt	l-a-p-on-y-è-t
apwoksime	a-p-w-o-k-s-i-m-e
bondisyon	b-on-d-i-s-y-on
tchouboum	t-ch-ou-b-ou-m
lideyal	l-i-d-e-y-a-l
demaske	d-e-m-a-s-k-e
obèjin	o-b-è-j-i-n
dezakoste	d-e-z-a-k-o-s-t-e
kòmantatè	k-ò-m-an-t-a-t-è
desantralizasyon	d-e-s-an-t-r-a-l-i-z-a-s-y-on
gany	g-an-y
makak	m-a-k-a-k
legoyin	l-e-g-o-y-i-n
chèsè	ch-è-s-è
antiteworis	an-t-i-t-e-w-o-r-i-s
pwochenn	p-w-o-ch-en-n
kikit	k-i-k-i-t
dirèkteman	d-i-r-è-k-t-e-m-an
frè	f-r-è
redekouvri	r-e-d-e-k-ou-v-r-i
kadna	k-a-d-n-a
Palma	P-a-l-m-a
atikile	a-t-i-k-i-l-e
Charewon	Ch-a-r-e-w-on
konpetisyon	k-on-p-e-t-i-s-y-on
enstiti	en-s-t-i-t-i
travè	t-r-a-v-è
devalorize	d-e-v-a-l-o-r-i-z-e
fineray	f-i-n-e-r-a-y
rakonte	r-a-k-on-t-e
pasyon	p-a-s-y-on
reenskri	r-e-en-s-k-r-i
esperans	e-s-p-e-r-an-s
idwo	i-d-w-o
laklate	l-a-k-l-a-t-e
mitoloji	m-i-t-o-l-o-j-i
iltimatòm	i-l-t-i-m-a-t-ò-m
denominatè	d-e-n-o-m-i-n-a-t-è
prentan	p-r-en-t-an
kòmandman	k-ò-m-an-d-m-an
kilmine	k-i-l-m-i-n-e
senplifye	s-en-p-l-i-f-y-e
wouze	w-ou-z-e
ekleraj	e-k-l-e-r-a-j
Oziris	O-z-i-r-i-s
Jistinyen	J-i-s-t-i-n-y-en
toutalè	t-ou-t-a-l-è
zonbifye	z-on-b-i-f-y-e
bastonad	b-a-s-t-o-n-a-d
koupèt	k-ou-p-è-t
prizon	p-r-i-z-on
Jidit	J-i-d-i-t
fimen	f-i-m-en
depaye	d-e-p-a-y-e
triyay	t-r-i-y-a-y
tantakil	t-an-t-a-k-i-l
mèkredi	m-è-k-r-e-d-i
anvi	an-v-i
kèk	k-è-k
filing	f-i-l-i-ng
egzajerasyon	e-g-z-a-j-e-r-a-s-y-on
tenyen	t-en-y-en
tanpete	t-an-p-e-t-e
epapiye	e-p-a-p-i-y-e
mennen	m-en-n-en
absan	a-b-s-an
tise	t-i-s-e
Jefra	J-e-f-r-a
estat	e-s-t-a-t
avèg	a-v-è-g
Nivana	N-i-v-a-n-a
ra	r-a
enferyè	en-f-e-r-y-è
sibi	s-i-b-i
grav	g-r-a-v
espesyalite	e-s-p-e-s-y-a-l-i-t-e
dokimantè	d-o-k-i-m-an-t-è
arenyen	a-r-en-y-en
tanzatan	t-an-z-a-t-an
lènmi	l-è-n-m-i
enfim	en-f-i-m
vye	v-y-e
fay	f-a-y
degize	d-e-g-i-z-e
dewoute	d-e-w-ou-t-e
grafik	g-r-a-f-i-k
radyografi	r-a-d-y-o-g-r-a-f-i
sentiman	s-en-t-i-m-an
kapwa	k-a-p-w-a
resipwòk	r-e-s-i-p-w-ò-k
Kapwa	K-a-p-w-a
sò	s-ò
Nikola	N-i-k-o-l-a
melimelo	m-e-l-i-m-e-l-o
lafèy	l-a-f-è-y
kominikasyon	k-o-m-i-n-i-k-a-s-y-on
benzoliv	b-en-z-o-l-i-v
majeste	m-a-j-e-s-t-e
kòdon	k-ò-d-on
aparisyon	a-p-a-r-i-s-y-on
insiste	i-n-s-i-s-t-e
wozèt	w-o-z-è-t
balèn	b-a-l-è-n
leksikal	l-e-k-s-i-k-a-l
ilandè	i-l-an-d-è
dann	d-an-n
mouton	m-ou-t-on
aksidantèl	a-k-s-i-d-an-t-è-l
freyè	f-r-e-y-è
ravaje	r-a-v-a-j-e
endijenis	en-d-i-j-e-n-i-s
anpil	an-p-i-l
Danis	D-a-n-i-s
aks	a-k-s
desisyon	d-e-s-i-s-y-on
òmòn	ò-m-ò-n
agresif	a-g-r-e-s-i-f
kowòdone	k-o-w-ò-d-o-n-e
lokipasyon	l-o-k-i-p-a-s-y-on
mezi	m-e-z-i
soupoudre	s-ou-p-ou-d-r-e
Madlin	M-a-d-l-i-n
reaksyon	r-e-a-k-s-y-on
repliye	r-e-p-l-i-y-e
Sèlsiyis	S-è-l-s-i-y-i-s
amize	a-m-i-z-e
okazyonèlman	o-k-a-z-y-o-n-è-l-m-an
ajisteman	a-j-i-s-t-e-m-an
renonsiyasyon	r-e-n-on-s-i-y-a-s-y-on
ibanizasyon	i-b-a-n-i-z-a-s-y-on
Viki	V-i-k-i
konjigal	k-on-j-i-g-a-l
bilding	b-i-l-d-i-ng
vòltije	v-ò-l-t-i-j-e
franse	f-r-an-s-e
kajou	k-a-j-ou
Albèto	A-l-b-è-t-o
piwo	p-i-w-o
sètifikasyon	s-è-t-i-f-i-k-a-s-y-on
diplomasi	d-i-p-l-o-m-a-s-i
joul	j-ou-l
letènèl	l-e-t-è-n-è-l
trape	t-r-a-p-e
pwent	p-w-en-t
machin	m-a-ch-i-n
tè	t-è
pachat	p-a-ch-a-t
yèswa	y-è-s-w-a
jwen	j-w-en
erezi	e-r-e-z-i
trajedi	t-r-a-j-e-d-i
envèse	en-v-è-s-e
pwofonde	p-w-o-f-on-d-e
kristalize	k-r-i-s-t-a-l-i-z-e
badè	b-a-d-è
eveye	e-v-e-y-e
pousantaj	p-ou-s-an-t-a-j
konnèt	k-on-n-è-t
konyen	k-on-y-en
piloti	p-i-l-o-t-i
aske	a-s-k-e
masiv	m-a-s-i-v
Ketia	K-e-t-i-a
kontni	k-on-t-n-i
lesen	l-e-s-en
moun	m-ou-n
istorik	i-s-t-o-r-i-k
ranfòsman	r-an-f-ò-s-m-an
Karakas	K-a-r-a-k-a-s
konplotay	k-on-p-l-o-t-a-y
jebede	j-e-b-e-d-e
ke	k-e
kaka	k-a-k-a
evolye	e-v-o-l-y-e
michan	m-i-ch-an
dantis	d-an-t-i-s
nazal	n-a-z-a-l
fal	f-a-l
brasay	b-r-a-s-a-y
bani	b-a-n-i
tewolojyen	t-e-w-o-l-o-j-y-en
irigasyon	i-r-i-g-a-s-y-on
divès	d-i-v-è-s
gengenn	g-en-g-en-n
dèyè	d-è-y-è
Neyemi	N-e-y-e-m-i
kondoleyans	k-on-d-o-l-e-y-an-s
migratwa	m-i-g-r-a-t-w-a
aseptans	a-s-e-p-t-an-s
blanchisaj	b-l-an-ch-i-s-a-j
danmou	d-an-m-ou
nèt	n-è-t
Lisi	L-i-s-i
etewoseksyèl	e-t-e-w-o-s-e-k-s-y-è-l
enfraksyon	en-f-r-a-k-s-y-on
amoni	a-m-o-n-i
Divivye	D-i-v-i-v-y-e
levekanpe	l-e-v-e-k-an-p-e
dinasti	d-i-n-a-s-t-i
move	m-o-v-e
nonm	n-on-m
bòbèch	b-ò-b-è-ch
evalyatè	e-v-a-l-y-a-t-è
anprizonnman	an-p-r-i-z-on-n-m-an
alelouya	a-l-e-l-ou-y-a
itilize	i-t-i-l-i-z-e
nonkonkrè	n-on-k-on-k-r-è
enplore	en-p-l-o-r-e
Mèsedès	M-è-s-e-d-è-s
similtane	s-i-m-i-l-t-a-n-e
rigòl	r-i-g-ò-l
Gistav	G-i-s-t-a-v
Moab	M-o-a-b
Jaksòn	J-a-k-s-ò-n
dedans	d-e-d-an-s
krabinaj	k-r-a-b-i-n-a-j
palmis	p-a-l-m-i-s
echikye	e-ch-i-k-y-e
depandans	d-e-p-an-d-an-s
defere	d-e-f-e-r-e
gregwaryen	g-r-e-g-w-a-r-y-en
travayis	t-r-a-v-a-y-i-s
esplike	e-s-p-l-i-k-e
ekzanpsyon	e-k-z-an-p-s-y-on
kondensasyon	k-on-d-en-s-a-s-y-on
debat	d-e-b-a-t
Benjamen	B-en-j-a-m-en
pannkot	p-an-n-k-o-t
tiliv	t-i-l-i-v
feyton	f-e-y-t-on
twonbòn	t-w-on-b-ò-n
fyant	f-y-an-t
bag	b-a-g
legen	l-e-g-en
vèf	v-è-f
omwayen	o-m-w-a-y-en
revizyon	r-e-v-i-z-y-on
zip	z-i-p
lap	l-a-p
Kavayon	K-a-v-a-y-on
Solino	S-o-l-i-n-o
konsesyon	k-on-s-e-s-y-on
kapsil	k-a-p-s-i-l
mozayik	m-o-z-a-y-i-k
kredite	k-r-e-d-i-t-e
Dèlswen	D-è-l-s-w-en
kominye	k-o-m-i-n-y-e
ekzèsis	e-k-z-è-s-i-s
lwazi	l-w-a-z-i
kach	k-a-ch
sikyat	s-i-k-y-a-t
reveran	r-e-v-e-r-an
dòtwa	d-ò-t-w-a
entèwogatif	en-t-è-w-o-g-a-t-i-f
sibit	s-i-b-i-t
milimèt	m-i-l-i-m-è-t
fondatè	f-on-d-a-t-è
Idilya	I-d-i-l-y-a
pouswa	p-ou-s-w-a
mandaren	m-an-d-a-r-en
retwoaktif	r-e-t-w-o-a-k-t-i-f
mekanisyèn	m-e-k-a-n-i-s-y-è-n
limon	l-i-m-on
sable	s-a-b-l-e
dekri	d-e-k-r-i
transbòde	t-r-an-s-b-ò-d-e
nannansifye	n-an-n-an-s-i-f-y-e
aktyèl	a-k-t-y-è-l
eslogan	e-s-l-o-g-an
dezapresye	d-e-z-a-p-r-e-s-y-e
Brezilyèn	B-r-e-z-i-l-y-è-n
ovilasyon	o-v-i-l-a-s-y-on
chanpyon	ch-an-p-y-on
Richelye	R-i-ch-e-l-y-e
asid	a-s-i-d
ganyen	g-an-y-en
aksan	a-k-s-an
dekrete	d-e-k-r-e-t-e
kana	k-a-n-a
gradyèl	g-r-a-d-y-è-l
bwadchenn	b-w-a-d-ch-en-n
ensere	en-s-e-r-e
konfwotasyon	k-on-f-w-o-t-a-s-y-on
Janjan	J-an-j-an
fatal	f-a-t-a-l
gratis	g-r-a-t-i-s
Alaska	A-l-a-s-k-a
finans	f-i-n-an-s
votan	v-o-t-an
òfèv	ò-f-è-v
chòk	ch-ò-k
Magali	M-a-g-a-l-i
maryaj	m-a-r-y-a-j
drapo	d-r-a-p-o
Tima	T-i-m-a
entèwogasyon	en-t-è-w-o-g-a-s-y-on
vi	v-i
boujonnen	b-ou-j-on-n-en
kenbe	k-en-b-e
Adalya	A-d-a-l-y-a
mefye	m-e-f-y-e
lorizon	l-o-r-i-z-on
Lavyèj	L-a-v-y-è-j
paramilitè	p-a-r-a-m-i-l-i-t-è
kapitalize	k-a-p-i-t-a-l-i-z-e
chapant	ch-a-p-an-t
lezanj	l-e-z-an-j
kosyon	k-o-s-y-on
leve	l-e-v-e
estrik	e-s-t-r-i-k
Kenòl	K-e-n-ò-l
anblèm	an-b-l-è-m
dirije	d-i-r-i-j-e
preferans	p-r-e-f-e-r-an-s
paralezi	p-a-r-a-l-e-z-i
paralizi	p-a-r-a-l-i-z-i
prizonye	p-r-i-z-o-n-y-e
inogire	i-n-o-g-i-r-e
dekont	d-e-k-on-t
frapan	f-r-a-p-an
nich	n-i-ch
teste	t-e-s-t-e
Lavale	L-a-v-a-l-e
lanasyon	l-a-n-a-s-y-on
dominasyon	d-o-m-i-n-a-s-y-on
dyabèt	d-y-a-b-è-t
kwake	k-w-a-k-e
agoye	a-g-o-y-e
enstène	en-s-t-è-n-e
ekspilse	e-k-s-p-i-l-s-e
prekonize	p-r-e-k-o-n-i-z-e
kilakyèl	k-i-l-a-k-y-è-l
raman	r-a-m-an
konplis	k-on-p-l-i-s
konsène	k-on-s-è-n-e
grimo	g-r-i-m-o
kwen	k-w-en
timoun	t-i-m-ou-n
asèk	a-s-è-k
dispansè	d-i-s-p-an-s-è
ekzanplè	e-k-z-an-p-l-è
denn	d-en-n
konpak	k-on-p-a-k
brek	b-r-e-k
espansyonis	e-s-p-an-s-y-o-n-i-s
revenan	r-e-v-e-n-an
gonfleman	g-on-f-l-e-m-an
bobin	b-o-b-i-n
endividi	en-d-i-v-i-d-i
Afrikdisid	A-f-r-i-k-d-i-s-i-d
jèbè	j-è-b-è
chouflè	ch-ou-f-l-è
Samyèl	S-a-m-y-è-l
kenkay	k-en-k-a-y
liberasyon	l-i-b-e-r-a-s-y-on
ogatwa	o-g-a-t-w-a
douvanjou	d-ou-v-an-j-ou
katrevendiznèf	k-a-t-r-e-v-en-d-i-z-n-è-f
rechte	r-e-ch-t-e
obstak	o-b-s-t-a-k
parese	p-a-r-e-s-e
devanse	d-e-v-an-s-e
reponsab	r-e-p-on-s-a-b
enfliyans	en-f-l-i-y-an-s
abouti	a-b-ou-t-i
Joram	J-o-r-a-m
viwòl	v-i-w-ò-l
Jimi	J-i-m-i
konneksyon	k-on-n-e-k-s-y-on
charyo	ch-a-r-y-o
lapwent	l-a-p-w-en-t
bak	b-a-k
ekselan	e-k-s-e-l-an
kwayan	k-w-a-y-an
palman	p-a-l-m-an
lakoloni	l-a-k-o-l-o-n-i
opouvwa	o-p-ou-v-w-a
tade	t-a-d-e
rache	r-a-ch-e
degajman	d-e-g-a-j-m-an
lakòl	l-a-k-ò-l
tanp	t-an-p
kwiv	k-w-i-v
poje	p-o-j-e
envantè	en-v-an-t-è
madichon	m-a-d-i-ch-on
bobis	b-o-b-i-s
antesedan	an-t-e-s-e-d-an
Babyòl	B-a-b-y-ò-l
trak	t-r-a-k
pòtvwa	p-ò-t-v-w-a
egzistansyèl	e-g-z-i-s-t-an-s-y-è-l
jestyèl	j-e-s-t-y-è-l
enèvan	e-n-è-v-an
koklich	k-o-k-l-i-ch
korelasyon	k-o-r-e-l-a-s-y-on
laplipa	l-a-p-l-i-p-a
Dichiti	D-i-ch-i-t-i
alankont	a-l-an-k-on-t
livrezon	l-i-v-r-e-z-on
imole	i-m-o-l-e
delibere	d-e-l-i-b-e-r-e
sèjousi	s-è-j-ou-s-i
galyon	g-a-l-y-on
Ameni	A-m-e-n-i
anba	an-b-a
dezòganizasyon	d-e-z-ò-g-a-n-i-z-a-s-y-on
nonimasyon	n-o-n-i-m-a-s-y-on
pitit	p-i-t-i-t
lakapital	l-a-k-a-p-i-t-a-l
soufri	s-ou-f-r-i
rapidman	r-a-p-i-d-m-an
senfoni	s-en-f-o-n-i
demwatye	d-e-m-w-a-t-y-e
dat	d-a-t
ralonje	r-a-l-on-j-e
Sandra	S-an-d-r-a
kouch	k-ou-ch
lantiray	l-an-t-i-r-a-y
Dany	D-an-y
derizwa	d-e-r-i-z-w-a
griyo	g-r-i-y-o
pwovizwaman	p-w-o-v-i-z-w-a-m-an
parèy	p-a-r-è-y
enpwovizasyon	en-p-w-o-v-i-z-a-s-y-on
kolonn	k-o-l-on-n
gadavi	g-a-d-a-v-i
pèpandikilè	p-è-p-an-d-i-k-i-l-è
fragman	f-r-a-g-m-an
regilyèman	r-e-g-i-l-y-è-m-an
madigra	m-a-d-i-g-r-a
kapo	k-a-p-o
java	j-a-v-a
kòn	k-ò-n
klandesten	k-l-an-d-e-s-t-en
lantouraj	l-an-t-ou-r-a-j
kobi	k-o-b-i
sirèt	s-i-r-è-t
anbisyon	an-b-i-s-y-on
grenadya	g-r-e-n-a-d-y-a
invèse	i-n-v-è-s-e
Ikrenyen	I-k-r-e-n-y-en
dappiyanp	d-a-p-p-i-y-a-n-p
sibreka	s-i-b-r-e-k-a
Nanfi	N-an-f-i
tripay	t-r-i-p-a-y
Bennadèt	B-en-n-a-d-è-t
Tyòt	T-y-ò-t
matris	m-a-t-r-i-s
chèz	ch-è-z
literè	l-i-t-e-r-è
tripatit	t-r-i-p-a-t-i-t
kofraj	k-o-f-r-a-j
kakawo	k-a-k-a-w-o
estad	e-s-t-a-d
miz	m-i-z
fiyanse	f-i-y-an-s-e
Frederiko	F-r-e-d-e-r-i-k-o
memorizasyon	m-e-m-o-r-i-z-a-s-y-on
rèd	r-è-d
